sceneName,startTime,stopTime,platform,beamModeType,flightDirection,pathNumber,frameNumber,orbit,polarization,processingLevel,url
S1A_IW_SLC__1SDV_20150921T232737_20150921T232806_007820_00AE3B_0A60,2015-09-21T23:27:37Z,2015-09-21T23:28:06Z,Sentinel-1A,IW,ASCENDING,48,79,7820,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150921T232737_20150921T232806_007820_00AE3B_0A60.zip
S1A_IW_SLC__1SDV_20151015T232737_20151015T232807_008170_00B7AA_A3BF,2015-10-15T23:27:37Z,2015-10-15T23:28:07Z,Sentinel-1A,IW,ASCENDING,48,79,8170,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151015T232737_20151015T232807_008170_00B7AA_A3BF.zip
S1A_IW_SLC__1SDV_20160412T232730_20160412T232800_010795_010233_9DB4,2016-04-12T23:27:30Z,2016-04-12T23:28:00Z,Sentinel-1A,IW,ASCENDING,48,78,10795,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160412T232730_20160412T232800_010795_010233_9DB4.zip
S1A_IW_SLC__1SDV_20160705T232737_20160705T232807_012020_012902_C130,2016-07-05T23:27:37Z,2016-07-05T23:28:07Z,Sentinel-1A,IW,ASCENDING,48,78,12020,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160705T232737_20160705T232807_012020_012902_C130.zip
S1A_IW_SLC__1SDV_20160927T232741_20160927T232811_013245_015163_8515,2016-09-27T23:27:41Z,2016-09-27T23:28:11Z,Sentinel-1A,IW,ASCENDING,48,78,13245,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160927T232741_20160927T232811_013245_015163_8515.zip
S1A_IW_SLC__1SDV_20161009T232741_20161009T232811_013420_0156DE_A163,2016-10-09T23:27:41Z,2016-10-09T23:28:11Z,Sentinel-1A,IW,ASCENDING,48,78,13420,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161009T232741_20161009T232811_013420_0156DE_A163.zip
S1B_IW_SLC__1SDV_20161015T232653_20161015T232723_002524_004432_468D,2016-10-15T23:26:53Z,2016-10-15T23:27:23Z,Sentinel-1B,IW,ASCENDING,48,77,2524,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20161015T232653_20161015T232723_002524_004432_468D.zip
S1A_IW_SLC__1SDV_20161021T232741_20161021T232811_013595_015C6C_93E1,2016-10-21T23:27:41Z,2016-10-21T23:28:11Z,Sentinel-1A,IW,ASCENDING,48,78,13595,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161021T232741_20161021T232811_013595_015C6C_93E1.zip
S1A_IW_SLC__1SDV_20161102T232741_20161102T232811_013770_0161D0_03FF,2016-11-02T23:27:41Z,2016-11-02T23:28:11Z,Sentinel-1A,IW,ASCENDING,48,78,13770,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161102T232741_20161102T232811_013770_0161D0_03FF.zip
S1A_IW_SLC__1SDV_20161114T232741_20161114T232810_013945_016753_6861,2016-11-14T23:27:41Z,2016-11-14T23:28:10Z,Sentinel-1A,IW,ASCENDING,48,78,13945,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161114T232741_20161114T232810_013945_016753_6861.zip
S1A_IW_SLC__1SDV_20161126T232740_20161126T232810_014120_016CA2_DA39,2016-11-26T23:27:40Z,2016-11-26T23:28:10Z,Sentinel-1A,IW,ASCENDING,48,78,14120,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161126T232740_20161126T232810_014120_016CA2_DA39.zip
S1A_IW_SLC__1SDV_20161208T232740_20161208T232810_014295_017231_184A,2016-12-08T23:27:40Z,2016-12-08T23:28:10Z,Sentinel-1A,IW,ASCENDING,48,78,14295,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161208T232740_20161208T232810_014295_017231_184A.zip
S1A_IW_SLC__1SDV_20161220T232739_20161220T232809_014470_0177A5_41C5,2016-12-20T23:27:39Z,2016-12-20T23:28:09Z,Sentinel-1A,IW,ASCENDING,48,78,14470,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161220T232739_20161220T232809_014470_0177A5_41C5.zip
S1A_IW_SLC__1SDV_20170101T232738_20170101T232808_014645_017D0F_5DA5,2017-01-01T23:27:38Z,2017-01-01T23:28:08Z,Sentinel-1A,IW,ASCENDING,48,78,14645,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170101T232738_20170101T232808_014645_017D0F_5DA5.zip
S1A_IW_SLC__1SDV_20170113T232738_20170113T232807_014820_01825D_0173,2017-01-13T23:27:38Z,2017-01-13T23:28:07Z,Sentinel-1A,IW,ASCENDING,48,78,14820,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170113T232738_20170113T232807_014820_01825D_0173.zip
S1A_IW_SLC__1SDV_20170125T232737_20170125T232807_014995_0187CE_1A01,2017-01-25T23:27:37Z,2017-01-25T23:28:07Z,Sentinel-1A,IW,ASCENDING,48,78,14995,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170125T232737_20170125T232807_014995_0187CE_1A01.zip
S1A_IW_SLC__1SDV_20170206T232745_20170206T232811_015170_018D2A_5037,2017-02-06T23:27:45Z,2017-02-06T23:28:11Z,Sentinel-1A,IW,ASCENDING,48,80,15170,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170206T232745_20170206T232811_015170_018D2A_5037.zip
